x y likelihood f g h n t0
3 26 -263.856107798 8.16661482996 0.0129748976946 -7.36289626765 0.00180458331075 167.996552253
3 28 -150.211325546 2.23857513979 -0.00407018683628 0.838775494811 1.07727874824 229.391787896
3 63 -180.967649506 12.6732254595 0.0344431558906 -15.9215120769 0.00360513948814 139.489953179
3 82 -4639.2895685 21.8929121774 -0.131744377269 18.4321501132 0.527996969002 -78.6301888976
3 91 -2921.04677627 -11.195876515 0.098312549504 10.3375267543 -0.0632127441414 97.584482097
83 33 -5242.69755944 -0.843780391691 -0.154120399498 54.9979828404 0.00814692510188 -1.45742440484
83 34 -14865.2901168 5.72990769606 0.0164403110041 55.9217257559 -0.00133329879254 142.159444253
83 35 -3897.25294917 19.3518947289 -0.254227729044 72.949605355 0.0126277947577 131.665865197
83 36 -4166.83246113 54.780617536 -0.138427423071 26.4980331538 1.68475095105 110.198882197
83 37 -4623.88281006 10.9879998883 0.0887396543898 25.729192599 -0.029532099151 279.617595144
83 38 -8982.7464806 3.83023058045 0.0317524702243 60.983441119 -0.0032905026001 60.2743036094
83 39 -3828.38852544 3.63544448953 0.038088523149 36.1849462857 -0.00989923521129 145.79006121
83 40 -1193.74182696 21.4808140908 0.000822866795278 24.214772595 -0.117663766462 71.260016994
83 41 -2598.99883069 8.75811197637 0.0225589094839 47.1396868255 -0.0204740156103 14.7705338953
83 42 -3104.27142014 29.640222301 -0.0696185232158 5.57469551031 0.788319616441 160.050055971
83 43 -3465.47761324 18.1849631052 0.00606262386065 4.30899693296 -0.53199759804 199.893669461
83 44 -4314.35295753 15.5403648002 -0.0136728318337 3.00592683904 0.77931356299 93.0047540982
83 45 -3173.00161806 1.88047205107 0.0460077399235 8.39828125374 -0.624531998055 178.416636361
83 46 -2476.10296738 16.7004971974 0.0486422169924 -8.38822745564 0.506123113624 170.233220575
83 47 -2012.59719341 1.9496913362 0.0399433093648 5.95431950864 -0.798566521227 165.836196842
83 48 -1747.15047693 -6.4166602985 0.0632552351162 6.09128945533 -0.542931690495 216.363960592
83 49 -2506.94410601 11.2289958557 0.031993240911 -3.32042022439 1.54242484987 154.322620958
83 50 -2580.28742212 -5.05412035837 0.0157562622672 14.9115711375 -1.36027180836e-05 175.154494958
83 51 -1158.91022987 9.01770214573 0.0501147165519 -4.74332154925 0.565720096798 204.900751503
83 52 -982.222270651 9.82721345267 0.0230598296793 1.46701263085 -0.305163643496 142.550696935
83 53 -1126.69795423 11.978767173 0.0148855507877 1.67062309342 0.719365149801 91.2612362141
83 54 -1127.49806581 17.7673483694 -0.0483848000261 12.7092294569 0.0523793098446 211.627924371
83 55 -2276.2892966 7.46623051336 -0.0685032594484 25.4468670835 0.0228227150903 194.278311527
83 56 -1346.64006656 11.0494305011 -0.0935234965969 28.9026594948 0.0223535983208 192.148897507
83 57 -612.330959049 35.9328544531 -0.0139384363956 -7.71969680284 -0.119110206756 203.527720142
83 58 -1422.30577981 10.2134300477 -0.0163522863424 17.2097191311 0.00600127716943 123.853337693
83 59 -2145.45093519 7.59238931958 -0.00231378896674 17.6024182472 0.00512391501609 116.525432989
83 60 -2722.11795386 18.4761428877 0.0496854879996 3.93112020194 -0.48721774214 84.9889983119
83 61 -2033.74551681 27.8828467836 0.0458067462583 -3.26151689453 0.9019729864 126.661815824
83 62 -1357.44925209 10.1861118057 -0.0133064170525 23.5426802186 0.00331087796964 85.0328777555
83 63 -1167.26080021 5.65517832748 0.00462831056909 20.268570459 0.0273603349826 22.2323024325
83 64 -1034.35573804 8.61989736947 -0.0179115703366 25.97770391 0.0211077276925 53.9275487128
83 65 -528.102634499 7.21523315726 -0.0231927838073 32.4233749773 0.0123558269953 66.1666215107
83 66 -1297.5956096 9.75788536871 0.0469707133778 34.211999531 0.000462983614026 207.935995712
83 67 -1578.62759427 16.8511711303 0.110557470723 24.1020738591 -0.0137469404216 86.7344260234
83 68 -992.327019777 7.26530510077 0.130743970217 28.5001234855 -0.0194548649837 143.213282934
83 69 -2309.71875897 25.9707870689 -0.00786275074679 15.2925279229 1.50628078838 -51.3105427885
83 70 -1886.04270688 5.58807866773 0.0159438395353 57.611152397 -0.00139227117033 126.499389957
83 71 -1881.53173456 13.3906387771 0.0346781018222 48.6652290972 -0.00201779500241 159.692719303
83 72 -2155.56247047 9.18817504856 -0.0512254317851 37.9806204505 0.0189339959502 -41.671580892
83 73 -2636.01397513 -5.86534432803 -0.0332095778999 41.8246238619 0.0346646553443 -69.8386324647
83 74 -2496.79275503 5.30396064899 0.0583321259666 52.5999931473 -0.00313428004563 125.254534667
83 75 -3178.84262343 -2.06565484986 -0.0320961017017 30.9881430837 0.75528610836 -85.1155518374
83 76 -1611.15318373 15.2318564919 0.0680339531499 28.2890253747 -0.00736714565273 90.8356823396
83 77 -2471.51475083 11.7063204901 0.0629476486519 19.1304609577 0.000478506027787 24.6041360133
83 78 -5073.03832112 3.56582981028 -0.0513773358221 49.715571893 0.00781994488037 180.29299135
83 79 -8719.55636205 0.0768956641504 -0.00326457759889 51.6743298935 0.00367030600503 193.303307866
83 80 -2769.3684286 12.8886572435 0.0107323671337 21.4664745658 1.07855837064 -85.7320410121
83 81 -1292.22610158 9.09091042132 -0.0376316653441 28.3576528617 0.280103627878 -111.009956727
83 83 -4199.45358715 5.24942743649 -0.0208450338288 53.35171116 -0.00141807767894 98.8232408174
